email,lat,long,size,name,type
mailto:Aberhillps.enquiries@fife.gov.uk,56.18773,-3.01081,305,Aberhill,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Abernethy@pkc.gov.uk,56.33334,-3.30987,144,Abernethy,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Abernethy@pkc.gov.uk,56.33334,-3.30987,144,Abernethy,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Abernyte@pkc.gov.uk,56.46803,-3.20505,15,Abernyte,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Aberuthven@pkc.gov.uk,56.32072,-3.65218,41,Aberuthven,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Admin@craigourpark.edin.sch.uk,55.91293,-3.13317,359,Craigour Park,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Admin@craigourpark.edin.sch.uk,55.91293,-3.13317,359,Craigour Park,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Admin@craigroyston-pri.edin.sch.uk,55.96923,-3.25423,188,Craigroyston Primary,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Admin@craigroyston-pri.edin.sch.uk,55.96923,-3.25423,188,Craigroyston Primary,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Admin@howdenhall.edin.sch.uk,55.90371,-3.16529,4,Howdenhall & St Katharine's Special,http://data.opendatascotland.org/def/concept/education/stages-of-education/special
mailto:Admin@rowanfield.edin.sch.uk,55.96196,-3.24749,30,Rowanfield Special,http://data.opendatascotland.org/def/concept/education/stages-of-education/special
mailto:Admin@wellington.edin.sch.uk,55.79735,-3.21658,34,Wellington,http://data.opendatascotland.org/def/concept/education/stages-of-education/special
mailto:Arngask@pkc.gov.uk,56.28316,-3.39769,71,Arngask,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Arngask@pkc.gov.uk,56.28316,-3.39769,71,Arngask,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Asutherland@scotborders.gov.uk,55.69159,-2.86545,81,Stow,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Asutherland@scotborders.gov.uk,55.69159,-2.86545,81,Stow,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Auchmutyhs.enquiries@fife.gov.uk,56.19595,-3.15736,1221,Auchmuty High,http://data.opendatascotland.org/def/concept/education/stages-of-education/secondary
mailto:Auchterarder@pkc.gov.uk,56.29672,-3.7073,775,"Community School of Auchterarder,The",http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Auchterarder@pkc.gov.uk,56.29672,-3.7073,775,"Community School of Auchterarder,The",http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Auchterarder@pkc.gov.uk,56.29672,-3.7073,775,"Community School of Auchterarder,The",http://data.opendatascotland.org/def/concept/education/stages-of-education/secondary
mailto:Awelsch@scotborders.gov.uk,55.61168,-2.38789,20,Sprouston,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Awelsch@scotborders.gov.uk,55.61168,-2.38789,20,Sprouston,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Balbeggie@pkc.gov.uk,56.45083,-3.34858,45,Balbeggie,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Balbeggie@pkc.gov.uk,56.45083,-3.34858,45,Balbeggie,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Balcurvieps.enquiries@fife.gov.uk,56.19358,-3.0557,133,Balcurvie,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Balcurvieps.enquiries@fife.gov.uk,56.19358,-3.0557,133,Balcurvie,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Beathhs.enquiries@fife.gov.uk,56.11279,-3.36196,1065,Beath High,http://data.opendatascotland.org/def/concept/education/stages-of-education/secondary
mailto:Blackford@pkc.gov.uk,56.26207,-3.77669,49,Blackford,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:BlairAtholl@pkc.gov.uk,56.76527,-3.83824,18,Blair Atholl,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:BlairAtholl@pkc.gov.uk,56.76527,-3.83824,18,Blair Atholl,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Blairgowrie@pkc.gov.uk,56.58452,-3.34246,897,Blairgowrie High,http://data.opendatascotland.org/def/concept/education/stages-of-education/secondary
mailto:Blairingone@pkc.gov.uk,56.15501,-3.63117,10,Blairingone,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Breadalbane@pkc.gov.uk,56.61726,-3.86935,1432,Breadalbane Academy,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Breadalbane@pkc.gov.uk,56.61726,-3.86935,1432,Breadalbane Academy,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Breadalbane@pkc.gov.uk,56.61726,-3.86935,1432,Breadalbane Academy,http://data.opendatascotland.org/def/concept/education/stages-of-education/secondary
mailto:Buckhavenps.enquiries@fife.gov.uk,56.17319,-3.0313,242,Buckhaven,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Buckhavenps.enquiries@fife.gov.uk,56.17319,-3.0313,242,Buckhaven,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:BucksburnPrimary@aberdeencity.gov.uk,57.17721,-2.17143,127,Bucksburn,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:BucksburnPrimary@aberdeencity.gov.uk,57.17721,-2.17143,127,Bucksburn,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Burntislandps.enquiries@fife.gov.uk,56.06397,-3.22696,498,Burntisland,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Burntislandps.enquiries@fife.gov.uk,56.06397,-3.22696,498,Burntisland,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:CARobertson@scotborders.gov.uk,55.61007,-2.80102,222,St Peter's,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:CARobertson@scotborders.gov.uk,55.61007,-2.80102,222,St Peter's,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Cairneyhillps.enquiries@fife.gov.uk,56.06077,-3.53403,205,Cairneyhill,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Cairneyhillps.enquiries@fife.gov.uk,56.06077,-3.53403,205,Cairneyhill,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Callaps@stirling.gov.uk,56.24131,-4.21781,219,Callander,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Callaps@stirling.gov.uk,56.24131,-4.21781,219,Callander,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Carletonps.enquiries@fife.gov.uk,56.19114,-3.14945,289,Carleton,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Carnockps.enquiries@fife.gov.uk,56.08538,-3.54184,79,Carnock,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Caskieberranps.enquiries@fife.gov.uk,56.18901,-3.19552,192,Caskieberran,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Caskieberranps.enquiries@fife.gov.uk,56.18901,-3.19552,192,Caskieberran,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Castlehillps.enquiries@fife.gov.uk,56.31272,-3.00869,451,Castlehill,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Castlehillps.enquiries@fife.gov.uk,56.31272,-3.00869,451,Castlehill,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Cleish@pkc.gov.uk,56.16641,-3.45892,54,Cleish,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Coaltownofbalgonieps.enquiries@fife.gov.uk,56.18515,-3.12792,96,Coaltown of Balgonie,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Coaltownofwemyssps.enquiries@fife.gov.uk,56.15001,-3.09236,69,Coaltown of Wemyss,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Colinsburghps.enquiries@fife.gov.uk,56.22102,-2.84452,48,Colinsburgh,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Collace@pkc.gov.uk,56.47361,-3.30518,20,Collace,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Collydeanps.enquiries@fife.gov.uk,56.21381,-3.18408,392,Collydean,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Collydeanps.enquiries@fife.gov.uk,56.21381,-3.18408,392,Collydean,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Commercialps.enquiries@fife.gov.uk,56.06918,-3.44482,312,Commercial,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Comrie@pkc.gov.uk,56.37541,-3.98803,125,Comrie,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Comrie@pkc.gov.uk,56.37541,-3.98803,125,Comrie,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Cowdenbeathps.enquiries@fife.gov.uk,56.10689,-3.34391,202,Cowdenbeath,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Cowdenbeathps.enquiries@fife.gov.uk,56.10689,-3.34391,202,Cowdenbeath,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Craigie@pkc.gov.uk,56.38899,-3.44203,181,Craigie,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Craigie@pkc.gov.uk,56.38899,-3.44203,181,Craigie,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Craigrothieps.enquiries@fife.gov.uk,56.28594,-3.00463,36,Craigrothie,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Crailps.enquiries@fife.gov.uk,56.26099,-2.62915,84,Crail,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Crailps.enquiries@fife.gov.uk,56.26099,-2.62915,84,Crail,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:CrieffHigh@pkc.gov.uk,56.36994,-3.83633,615,Crieff High,http://data.opendatascotland.org/def/concept/education/stages-of-education/secondary
