zone,lat,long,crimeRank,educationRank,employmentRank,geographicAccessRank,healthRank,housingRank,incomeRank,rank
http://statistics.data.gov.uk/id/statistical-geography/S01000001,57.09529,-2.26951,4839,4795,4518,3420,3490,3929,4102,4726
http://statistics.data.gov.uk/id/statistical-geography/S01000002,57.09592,-2.08821,6487,5360,6106,2151,5554,5880,6489,6214
http://statistics.data.gov.uk/id/statistical-geography/S01000003,57.09794,-2.08564,5066,5211,6340,3036,5267,4784,6284,6238
http://statistics.data.gov.uk/id/statistical-geography/S01000004,57.09826,-2.09607,5133,5255,6403,1462,5942,5755,6494,6068
http://statistics.data.gov.uk/id/statistical-geography/S01000005,57.09678,-2.27362,4331,5558,5918,3431,4812,5149,5308,5883
http://statistics.data.gov.uk/id/statistical-geography/S01000006,57.0986,-2.26538,4886,4239,4030,5577,4280,3924,4018,4812
http://statistics.data.gov.uk/id/statistical-geography/S01000007,57.09891,-2.25828,5355,6006,5706,5160,4400,6261,5564,6171
http://statistics.data.gov.uk/id/statistical-geography/S01000008,57.09981,-2.26771,4409,4135,3978,3950,3779,3280,4227,4548
http://statistics.data.gov.uk/id/statistical-geography/S01000009,57.10082,-2.08103,5425,4459,5192,2725,4859,4013,4496,5159
http://statistics.data.gov.uk/id/statistical-geography/S01000010,57.10082,-2.08977,4625,4898,5750,3855,5907,4916,5774,6092
http://statistics.data.gov.uk/id/statistical-geography/S01000011,57.10467,-2.23927,5968,6384,6494,1623,3808,6142,6476,6002
http://statistics.data.gov.uk/id/statistical-geography/S01000012,57.09564,-2.0976,4022,5196,6255,1201,4421,5802,5934,5491
http://statistics.data.gov.uk/id/statistical-geography/S01000013,57.10199,-2.27399,4719,5006,5046,1679,3743,3715,4303,4702
http://statistics.data.gov.uk/id/statistical-geography/S01000014,57.10199,-2.07872,5663,3835,5522,1987,3921,4224,5982,5274
http://statistics.data.gov.uk/id/statistical-geography/S01000015,57.10486,-2.08995,5677,4734,6231,4155,4636,3330,6401,6210
http://statistics.data.gov.uk/id/statistical-geography/S01000016,57.10694,-2.21921,4887,6065,6495,1207,6487,5267,6468,6162
http://statistics.data.gov.uk/id/statistical-geography/S01000017,57.10522,-2.08415,3647,4249,4930,3721,2881,4641,4715,4808
http://statistics.data.gov.uk/id/statistical-geography/S01000018,57.10693,-2.08649,5345,2686,4261,4031,3724,3744,5979,4908
http://statistics.data.gov.uk/id/statistical-geography/S01000019,57.10762,-2.23021,6138,6383,6270,1524,4499,6401,5908,5918
http://statistics.data.gov.uk/id/statistical-geography/S01000020,57.11434,-2.18004,5634,5500,3141,1662,4684,5052,3520,4026
http://statistics.data.gov.uk/id/statistical-geography/S01000021,57.11328,-2.11441,4369,3042,3897,2609,2818,3788,4414,3982
http://statistics.data.gov.uk/id/statistical-geography/S01000022,57.11326,-2.20472,5985,6483,6449,961,6439,6475,6458,6167
http://statistics.data.gov.uk/id/statistical-geography/S01000023,57.1105,-2.23773,5877,6447,6469,723,6335,6367,6406,6000
http://statistics.data.gov.uk/id/statistical-geography/S01000024,57.11093,-2.28974,6196,6308,6488,530,5542,5031,5886,5602
http://statistics.data.gov.uk/id/statistical-geography/S01000025,57.11722,-2.19599,6000,6454,6195,964,6355,6476,6148,6010
http://statistics.data.gov.uk/id/statistical-geography/S01000026,57.11678,-2.11755,2537,1003,1248,3570,579,2081,1774,1260
http://statistics.data.gov.uk/id/statistical-geography/S01000027,57.11624,-2.1912,5644,6248,5539,1549,6232,6029,6068,5980
http://statistics.data.gov.uk/id/statistical-geography/S01000028,57.11661,-2.1121,3521,1420,2224,4282,984,2105,2558,2052
http://statistics.data.gov.uk/id/statistical-geography/S01000029,57.11738,-2.20722,6466,6496,6499,678,6502,6138,6464,6042
http://statistics.data.gov.uk/id/statistical-geography/S01000030,57.11778,-2.1055,1972,2655,2327,3652,2669,1268,2296,2448
http://statistics.data.gov.uk/id/statistical-geography/S01000031,57.1177,-2.1742,6103,6292,6245,2027,5135,6086,6069,6174
http://statistics.data.gov.uk/id/statistical-geography/S01000032,57.11922,-2.09791,2510,2020,3089,3662,1360,2552,2883,2591
http://statistics.data.gov.uk/id/statistical-geography/S01000033,57.12135,-2.10776,1002,1680,1860,5517,665,1643,1611,1519
http://statistics.data.gov.uk/id/statistical-geography/S01000034,57.12028,-2.17036,5504,6030,6496,1353,6298,6343,6421,6224
http://statistics.data.gov.uk/id/statistical-geography/S01000035,57.12197,-2.13673,1233,1156,3691,3316,2905,2972,3717,2969
http://statistics.data.gov.uk/id/statistical-geography/S01000036,57.12017,-2.14481,1986,552,2211,2172,1217,2670,2245,1585
http://statistics.data.gov.uk/id/statistical-geography/S01000037,57.12009,-2.09124,279,2112,2934,2958,2035,2047,3059,2382
http://statistics.data.gov.uk/id/statistical-geography/S01000038,57.12281,-2.10865,2131,2461,3414,3931,2465,2361,3554,3264
http://statistics.data.gov.uk/id/statistical-geography/S01000039,57.12232,-2.14565,3429,2103,3155,1154,1678,1708,3315,2536
http://statistics.data.gov.uk/id/statistical-geography/S01000040,57.12255,-2.10205,1688,2086,2849,5930,1758,2045,3490,2909
http://statistics.data.gov.uk/id/statistical-geography/S01000041,57.12381,-2.11259,3712,3588,3627,3883,2592,5624,3834,3925
http://statistics.data.gov.uk/id/statistical-geography/S01000042,57.1224,-2.12903,2612,1360,2465,5270,1234,3161,3436,2431
http://statistics.data.gov.uk/id/statistical-geography/S01000043,57.1263,-2.12502,1379,3750,4628,5143,1958,2651,3098,3619
http://statistics.data.gov.uk/id/statistical-geography/S01000044,57.12347,-2.13336,1281,1284,2031,4401,486,1582,1407,1350
http://statistics.data.gov.uk/id/statistical-geography/S01000045,57.12502,-2.14417,5518,6115,6436,1343,5471,5936,6347,6084
http://statistics.data.gov.uk/id/statistical-geography/S01000046,57.12726,-2.14814,5019,6436,6454,1420,5492,6414,6402,6159
